FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,FACTOR,CLASS
FUR4_YEAST,0.35,0.56,0.36,0.3,0.5,0,0.53,0.25,0
FUS1_YEAST,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5,0
FUS3_YEAST,0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,0
FZF1_YEAST,0.37,0.43,0.62,0.27,0.5,0,0.48,0.22,1
GAC1_YEAST,0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,0
GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,0
GALX_YEAST,0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,0
GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,1
GAL2_YEAST,0.44,0.51,0.37,0.15,0.5,0,0.51,0.22,0
GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27,1
GAL7_YEAST,0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,0
GAL8_YEAST,0.6,0.6,0.49,0.3,0.5,0,0.53,0.22,1
GAP1_YEAST,0.49,0.46,0.34,0.21,0.5,0,0.55,0.22,0
GAR1_YEAST,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36,1
GAS1_YEAST,0.7,0.69,0.43,0.33,0.5,0,0.58,0.22,0
GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27,1
E2BG_YEAST,0.45,0.42,0.52,0.2,0.5,0,0.5,0.25,0
IF2G_YEAST,0.51,0.35,0.46,0.15,0.5,0,0.51,0.42,0
E2BD_YEAST,0.42,0.39,0.47,0.13,0.5,0,0.5,0.27,0
E2BE_YEAST,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,0
E2BB_YEAST,0.59,0.65,0.52,0.3,0.5,0,0.46,0.31,0
GCN1_YEAST,0.41,0.52,0.41,0.11,0.5,0,0.54,0.35,0
GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,0
E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,0
GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27,1
GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0,0.52,0.29,1
GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0,0.49,0.28,1
GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0,0.45,0.25,1
GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27,1
GCS1_YEAST,0.43,0.51,0.54,0.15,0.5,0,0.45,0.26,1
GCY_YEAST,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,0
GDA1_YEAST,0.91,0.69,0.57,0.45,0.5,0,0.56,0.22,0
DHE4_YEAST,0.38,0.47,0.53,0.12,0.5,0,0.48,0.22,0
DHE2_YEAST,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,0
GDI1_YEAST,0.64,0.53,0.45,0.13,0.5,0,0.53,0.22,0
GEF1_YEAST,0.49,0.31,0.34,0.13,0.5,0,0.52,0.22,0
GFA1_YEAST,0.52,0.51,0.51,0.12,0.5,0,0.51,0.4,0
GLGB_YEAST,0.49,0.43,0.48,0.15,0.5,0,0.55,0.25,0
PP12_YEAST,0.49,0.47,0.52,0.16,0.5,0,0.53,0.28,0
HXKG_YEAST,0.48,0.39,0.49,0.18,0.5,0,0.51,0.22,0
GLNA_YEAST,0.44,0.34,0.55,0.18,0.5,0,0.52,0.22,0
GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0,0.5,0.36,1
SYQ_YEAST,0.49,0.42,0.54,0.17,0.5,0,0.5,0.36,0
GLO3_YEAST,0.34,0.66,0.51,0.16,0.5,0,0.47,0.33,1
GLS1_YEAST,0.2,0.34,0.33,0.1,0.5,0,0.48,0.31,0
6PGD_YEAST,0.74,0.53,0.5,0.08,0.5,0,0.55,0.31,0
GOG5_YEAST,0.69,0.48,0.38,0.15,0.5,0,0.55,0.22,0
GBA1_YEAST,0.3,0.5,0.47,0.11,0.5,0,0.46,0.22,0
GPDA_YEAST,0.44,0.51,0.48,0.38,0.5,0,0.52,0.22,0
PHSG_YEAST,0.31,0.45,0.5,0.17,0.5,0,0.49,0.22,0
PMGY_YEAST,0.55,0.41,0.56,0.21,0.5,0,0.52,0.22,0
PHO2_YEAST,0.4,0.34,0.52,0.17,0.5,0,0.47,0.51,1
SYG_YEAST,0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,0
GSP1_YEAST,0.58,0.48,0.56,0.1,0.5,0,0.46,0.25,1
GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25,1
UGS1_YEAST,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,0
UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,0
GTS1_YEAST,0.41,0.6,0.53,0.29,0.5,0,0.47,0.43,1
GPDM_YEAST,0.69,0.5,0.49,0.42,0.5,0,0.49,0.22,0
HAL1_YEAST,0.38,0.49,0.61,0.13,0.5,0,0.54,0.22,0
CYP1_YEAST,0.6,0.48,0.44,0.52,0.5,0,0.54,0.63,1
HAP2_YEAST,0.47,0.49,0.63,0.17,0.5,0,0.31,0.26,1
HAP3_YEAST,0.28,0.51,0.55,0.11,0.5,0,0.46,0.22,1
HAP4_YEAST,0.56,0.57,0.63,0.39,1,0,0.59,0.4,1
HBS1_YEAST,0.21,0.38,0.49,0.16,0.5,0,0.51,0.45,0
HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26,1
HDF1_YEAST,0.43,0.42,0.54,0.22,0.5,0,0.57,0.33,1
HEM1_YEAST,0.57,0.59,0.5,0.58,0.5,0,0.53,0.22,0
DCUP_YEAST,0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,0
HEM6_YEAST,0.35,0.4,0.53,0.18,0.5,0,0.42,0.38,0
HEMZ_YEAST,0.47,0.45,0.53,0.62,0.5,0,0.46,0.22,0
HEM2_YEAST,0.53,0.43,0.47,0.15,0.5,0,0.58,0.22,0
HEM3_YEAST,0.46,0.45,0.56,0.16,0.5,0,0.56,0.22,0
HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0,0.55,0.37,1
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,1
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,1
H3_YEAST,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,1
H3_YEAST,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,1
HIP1_YEAST,0.48,0.46,0.38,0.29,0.5,0,0.53,0.22,0
HIR1_YEAST,0.48,0.57,0.5,0.09,0.5,0,0.52,0.42,1
HIR2_YEAST,0.61,0.57,0.45,0.21,0.5,0,0.5,0.42,1
HIS7_YEAST,0.56,0.44,0.56,0.19,0.5,0,0.54,0.22,0
HMD1_YEAST,0.51,0.63,0.3,0.35,0.5,0,0.53,0.27,0
HMD2_YEAST,0.53,0.68,0.34,0.42,0.5,0,0.54,0.27,0
MAT1_YEAST,0.37,0.22,0.64,0.35,0.5,0,0.47,0.22,1
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,1
MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0,0.51,0.22,1
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,1
HO_YEAST,0.53,0.53,0.53,0.17,0.5,0,0.49,0.37,1
HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0,0.47,0.37,1
HPR1_YEAST,0.5,0.45,0.49,0.15,0.5,0,0.55,0.43,1
HXTY_YEAST,0.33,0.28,0.31,0.24,0.5,0,0.53,0.22,0
YJ64_YEAST,0.85,0.85,0.3,0.31,0.5,0,0.55,0.42,0
HR25_YEAST,0.43,0.39,0.51,0.28,0.5,0,0.4,0.22,1
HS83_YEAST,0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,0
HSF_YEAST,0.34,0.35,0.61,0.19,0.5,0,0.52,0.25,1
CH10_YEAST,0.55,0.53,0.56,0.29,0.5,0,0.48,0.22,0
H104_YEAST,0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,0
HS26_YEAST,0.44,0.41,0.58,0.2,0.5,0,0.57,0.25,0
HS30_YEAST,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22,0
HS60_YEAST,0.45,0.56,0.51,0.64,0.5,0,0.54,0.22,0
HSP7_YEAST,0.38,0.46,0.52,0.75,0.5,0,0.5,0.26,0
HS82_YEAST,0.61,0.54,0.49,0.19,0.5,0,0.54,0.47,0
H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0,0.5,0.22,1
H2A2_YEAST,0.44,0.53,0.52,0.37,0.5,0,0.5,0.22,1
H2B1_YEAST,0.32,0.34,0.61,0.17,0.5,0,0.52,0.32,1
H2B2_YEAST,0.34,0.34,0.61,0.18,0.5,0,0.52,0.32,1
SYH_YEAST,0.51,0.68,0.49,0.59,0.5,0,0.54,0.27,0
HXKA_YEAST,0.41,0.3,0.49,0.28,0.5,0,0.54,0.22,0
HXKB_YEAST,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22,0
HXT1_YEAST,0.3,0.5,0.34,0.26,0.5,0,0.51,0.22,0
HXT2_YEAST,0.49,0.4,0.34,0.26,0.5,0,0.5,0.22,0
HXT3_YEAST,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22,0
HXT4_YEAST,0.43,0.44,0.3,0.18,0.5,0,0.51,0.22,0
HXT5_YEAST,0.43,0.45,0.37,0.12,0.5,0,0.48,0.22,0
HXT6_YEAST,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,0
HXT7_YEAST,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,0
HXT8_YEAST,0.42,0.44,0.33,0.17,0.5,0,0.54,0.27,0
ACEA_YEAST,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22,0
IDH1_YEAST,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22,0
IDH2_YEAST,0.45,0.54,0.54,0.62,0.5,0,0.53,0.22,0
IPPI_YEAST,0.51,0.43,0.63,0.18,0.5,0,0.52,0.22,0
IDHP_YEAST,0.51,0.52,0.48,0.5,0.5,0,0.51,0.22,0
IF2M_YEAST,0.55,0.49,0.5,0.46,0.5,0,0.52,0.25,0
SYI_YEAST,0.5,0.46,0.52,0.16,0.5,0,0.52,0.26,0
THDH_YEAST,0.5,0.53,0.45,0.44,0.5,0,0.49,0.22,0
ILVB_YEAST,0.45,0.59,0.53,0.74,0.5,0,0.47,0.25,0
ILV5_YEAST,0.57,0.61,0.55,0.67,0.5,0,0.48,0.22,0
I0_YEAST,0.54,0.45,0.62,0.13,0.5,0,0.52,0.26,1
IMP1_YEAST,0.67,0.51,0.53,0.28,0.5,0,0.51,0.22,0
IMP2_YEAST,0.35,0.49,0.47,0.22,0.5,0,0.5,0.28,0
IATP_YEAST,0.47,0.63,0.66,0.45,0.5,0,0.37,0.11,0
INO1_YEAST,0.51,0.34,0.43,0.18,0.5,0,0.48,0.25,0
INO2_YEAST,0.56,0.45,0.59,0.14,0.5,0,0.51,0.26,1
INO4_YEAST,0.45,0.38,0.59,0.18,0.5,0,0.44,0.45,1
IPYR_YEAST,0.43,0.51,0.6,0.25,0.5,0,0.55,0.22,0
IRA1_YEAST,0.47,0.59,0.43,0.13,0.5,0,0.56,0.3,0
IRA2_YEAST,0.4,0.45,0.42,0.17,0.5,0,0.54,0.26,0
IRE1_YEAST,0.89,0.81,0.36,0.71,0.5,0,0.55,0.63,0
IS42_YEAST,0.58,0.55,0.52,0.22,0.5,0,0.44,0.22,0
ISP6_YEAST,0.59,0.57,0.46,0.14,0.5,0,0.52,0.22,0
ITR1_YEAST,0.49,0.41,0.32,0.21,0.5,0,0.5,0.32,0
ITR2_YEAST,0.35,0.53,0.35,0.33,0.5,0,0.5,0.32,0
IXR1_YEAST,0.42,0.32,0.61,0.13,0.5,0,0.14,0.27,1
YJ12_YEAST,0.5,0.46,0.42,0.32,0.5,0,0.56,0.55,0
YJ13_YEAST,0.68,0.5,0.43,0.27,0.5,0,0.61,0.22,0
YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0,0.47,0.4,1
ACOX_YEAST,0.46,0.41,0.5,0.44,0.5,0,0.53,0.22,0
YJ36_YEAST,0.32,0.36,0.34,0.19,0.5,0,0.55,0.26,0
YJ43_YEAST,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25,0
YJ49_YEAST,0.7,0.73,0.37,0.37,0.5,0,0.48,0.31,0
YJ51_YEAST,0.81,0.76,0.32,0.37,0.5,0,0.51,0.22,0
YJ90_YEAST,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28,0
YJ91_YEAST,0.47,0.43,0.35,0.32,0.5,0,0.54,0.22,0
JNM1_YEAST,0.42,0.25,0.6,0.14,0.5,0,0.45,0.22,0
KAR1_YEAST,0.23,0.34,0.41,0.28,0.5,0,0.5,0.27,1
GR78_YEAST,0.85,0.56,0.33,0.38,1,0,0.55,0.25,0
KAR3_YEAST,0.34,0.31,0.6,0.37,0.5,0,0.5,0.3,1
KEM1_YEAST,0.59,0.53,0.47,0.26,0.5,0,0.53,0.31,1
KEX1_YEAST,0.67,0.63,0.34,0.41,0.5,0,0.6,0.33,0
KEX2_YEAST,0.7,0.73,0.38,0.36,0.5,0,0.54,0.22,0
ODO1_YEAST,0.54,0.51,0.54,0.52,0.5,0,0.47,0.25,0
ODO2_YEAST,0.53,0.5,0.54,0.56,0.5,0,0.49,0.41,0
KHR1_YEAST,0.84,0.63,0.38,0.23,0.5,0,0.53,0.22,0
KHS1_YEAST,0.89,0.77,0.36,0.34,0.5,0,0.44,0.22,0
KIN1_YEAST,0.48,0.43,0.45,0.17,0.5,0,0.48,0.37,0
KIN2_YEAST,0.36,0.35,0.47,0.22,0.5,0,0.44,0.31,0
KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0,0.51,0.22,1
KIP1_YEAST,0.43,0.52,0.53,0.52,1,0,0.49,0.22,0
KIP2_YEAST,0.38,0.49,0.54,1,0.5,0,0.5,0.27,0
SMI1_YEAST,0.43,0.32,0.56,0.27,0.5,0,0.47,0.27,1
KRE1_YEAST,0.84,0.87,0.45,0.54,0.5,0,0.28,0.22,0
KR11_YEAST,0.27,0.56,0.56,0.18,0.5,0,0.52,0.22,0
KRE2_YEAST,0.89,0.82,0.6,0.49,0.5,0,0.55,0.22,0
KRE5_YEAST,0.86,0.92,0.5,0.37,1,0,0.53,0.32,0
KRE6_YEAST,0.37,0.55,0.29,0.32,0.5,0,0.51,0.22,0
KRE9_YEAST,0.87,0.83,0.57,0.36,0.5,0,0.36,0.22,0
SYKC_YEAST,0.43,0.45,0.54,0.14,0.5,0,0.5,0.31,0
KSS1_YEAST,0.52,0.48,0.54,0.28,0.5,0,0.54,0.22,1
KTR1_YEAST,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22,0
KTR2_YEAST,0.76,0.74,0.56,0.34,0.5,0,0.51,0.3,0
KTR3_YEAST,0.58,0.76,0.4,0.37,0.5,0,0.54,0.3,0
KTR4_YEAST,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22,0
MSF1_YEAST,0.36,0.44,0.57,0.18,0.5,0,0.42,0.22,0
LAG1_YEAST,0.42,0.51,0.39,0.22,0.5,0,0.49,0.26,0
BLH1_YEAST,0.52,0.48,0.58,0.55,0.5,0,0.48,0.22,0
AMPL_YEAST,0.42,0.32,0.48,0.16,0.5,0,0.55,0.22,0
LAS1_YEAST,0.43,0.38,0.51,0.24,0.5,0,0.46,0.33,1
ODP2_YEAST,0.48,0.57,0.52,0.61,0.5,0,0.51,0.22,0
LCB1_YEAST,0.83,0.53,0.52,0.2,0.5,0,0.48,0.25,0
LCB2_YEAST,0.36,0.34,0.46,0.19,0.5,0,0.52,0.22,0
LEU2_YEAST,0.51,0.43,0.47,0.19,0.5,0,0.52,0.37,0
LEU3_YEAST,0.54,0.54,0.49,0.14,0.5,0,0.56,0.22,0
LEUR_YEAST,0.44,0.41,0.44,0.13,0.5,0,0.49,0.42,1
LEU1_YEAST,0.52,0.62,0.54,0.19,0.5,0,0.5,0.22,0
LGT3_YEAST,0.46,0.4,0.38,0.18,0.5,0,0.49,0.22,0
LIP5_YEAST,0.68,0.5,0.55,0.65,0.5,0,0.46,0.31,0
LOS1_YEAST,0.53,0.44,0.47,0.22,0.5,0,0.53,0.22,1
DLDH_YEAST,0.48,0.48,0.5,0.47,0.5,0,0.55,0.22,0
LYP1_YEAST,0.46,0.14,0.36,0.21,0.5,0,0.5,0.25,0
LYS1_YEAST,0.5,0.45,0.48,0.17,0.5,0,0.5,0.26,0
LY14_YEAST,0.44,0.53,0.43,0.17,0.5,0,0.54,0.75,1
LYS2_YEAST,0.46,0.47,0.46,0.16,0.5,0,0.51,0.22,0
MAC1_YEAST,0.52,0.49,0.57,0.57,0.5,0,0.51,0.22,1
MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33,1
MAG_YEAST,0.46,0.32,0.58,0.17,0.5,0,0.61,0.25,1
MK11_YEAST,0.78,0.48,0.47,0.3,0.5,0,0.53,0.47,0
MK16_YEAST,0.49,0.62,0.65,0.18,0.5,0,0.46,0.43,1
MAK3_YEAST,0.5,0.34,0.62,0.19,0.5,0,0.57,0.22,0
MA3T_YEAST,0.39,0.37,0.33,0.23,0.5,0,0.53,0.26,0
MA3S_YEAST,0.39,0.37,0.56,0.15,0.5,0,0.5,0.27,0
MA3R_YEAST,0.33,0.37,0.54,0.28,0.5,0,0.53,0.27,1
MA6T_YEAST,0.39,0.37,0.33,0.23,0.5,0,0.52,0.26,0
MA6R_YEAST,0.33,0.38,0.53,0.26,0.5,0,0.52,0.27,1
AMPM_YEAST,0.48,0.51,0.57,0.24,0.5,0,0.5,0.22,0
MPP2_YEAST,0.5,0.62,0.54,0.66,0.5,0,0.49,0.22,0
MPP1_YEAST,0.47,0.54,0.54,0.48,0.5,0,0.53,0.26,0
OM20_YEAST,0.72,0.58,0.42,0.28,0.5,0,0.48,0.22,0
MAS6_YEAST,0.41,0.41,0.51,0.19,0.5,0,0.57,0.22,0
OM70_YEAST,0.81,0.65,0.52,0.41,0.5,0,0.57,0.26,0
MBP1_YEAST,0.5,0.49,0.52,0.2,0.5,0,0.43,0.52,1
MCM1_YEAST,0.18,0.48,0.46,0.12,0.5,0,0,0.25,1
MCM2_YEAST,0.26,0.38,0.52,0.36,0.5,0,0.48,0.56,1
MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0,0.49,0.41,1
MDHM_YEAST,0.58,0.49,0.5,0.41,0.5,0,0.57,0.22,0
MDHC_YEAST,0.62,0.6,0.47,0.16,0.5,0,0.53,0.22,0
MDHP_YEAST,0.68,0.58,0.51,0.19,0.5,0.83,0.54,0.22,0
MDJ1_YEAST,0.4,0.52,0.53,0.52,0.5,0,0.51,0.22,0
MDL1_YEAST,0.51,0.47,0.41,0.44,0.5,0,0.5,0.22,0
MDL2_YEAST,0.72,0.56,0.4,0.26,0.5,0,0.51,0.26,0
MDM1_YEAST,0.49,0.44,0.45,0.22,0.5,0,0.51,0.22,0
MD10_YEAST,0.32,0.47,0.55,0.25,0.5,0,0.49,0.22,0
MDS1_YEAST,0.46,0.57,0.52,0.28,0.5,0,0.52,0.22,1
EFG1_YEAST,0.53,0.48,0.45,0.44,0.5,0,0.49,0.27,0
EFG2_YEAST,0.49,0.48,0.46,0.63,0.5,0,0.52,0.22,0
MEIX_YEAST,0.7,0.53,0.42,0.22,0.5,0,0.51,0.28,1
AGAL_YEAST,0.68,0.68,0.49,0.15,0.5,0,0.53,0.22,0
MEP1_YEAST,0.47,0.6,0.35,0.21,0.5,0,0.52,0.22,0
MER1_YEAST,0.55,0.49,0.45,0.18,0.5,0,0.49,0.22,1
MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0,0.48,0.33,1
SYMC_YEAST,0.57,0.44,0.42,0.2,0.5,0,0.54,0.22,0
MET2_YEAST,0.4,0.47,0.48,0.18,0.5,0,0.46,0.22,0
MT17_YEAST,0.34,0.54,0.54,0.13,0.5,0,0.52,0.22,0
MT28_YEAST,0.43,0.83,0.55,0.2,0.5,0,0.47,0.4,1
MET4_YEAST,0.55,0.65,0.5,0.28,0.5,0,0.55,0.22,1
METE_YEAST,0.29,0.46,0.54,0.27,0.5,0,0.49,0.22,0
MFA2_YEAST,0.46,0.42,0.6,0.21,0.5,0,0.4,0.22,0
MFA3_YEAST,0.8,0.81,0.55,0.35,0.5,0,0.42,0.22,0
MFA4_YEAST,0.79,0.74,0.49,0.33,0.5,0,0.48,0.22,0
GRPE_YEAST,0.45,0.48,0.63,0.67,0.5,0,0.48,0.22,0
MGM1_YEAST,0.66,0.52,0.52,0.44,0.5,0,0.56,0.27,0
M101_YEAST,0.5,0.49,0.59,0.47,0.5,0,0.49,0.36,0
MGMT_YEAST,0.54,0.52,0.54,0.2,0.5,0,0.55,0.25,1
MIF2_YEAST,0.37,0.31,0.53,0.16,0.5,0,0.53,0.44,1
MIG1_YEAST,0.43,0.39,0.59,0.13,0.5,0,0.41,0.43,1
DPOG_YEAST,0.48,0.47,0.54,0.55,0.5,0,0.51,0.65,0
MPCP_YEAST,0.6,0.59,0.45,0.23,0.5,0,0.55,0.22,0
C1TM_YEAST,0.45,0.73,0.47,0.65,0.5,0,0.54,0.43,0
MLH1_YEAST,0.66,0.54,0.49,0.16,0.5,0,0.54,0.36,1
MLP1_YEAST,0.46,0.55,0.61,0.13,0.5,0,0.47,0.22,0
MASY_YEAST,0.42,0.5,0.53,0.22,0.5,0.83,0.5,0.22,0
MNN1_YEAST,0.66,0.66,0.32,0.54,0.5,0,0.51,0.22,0
MNN9_YEAST,0.74,0.56,0.35,0.36,0.5,0,0.51,0.25,0
MNS1_YEAST,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31,0
MOD5_YEAST,0.67,0.51,0.54,0.21,0.5,0,0.43,0.3,0
MOT1_YEAST,0.58,0.46,0.46,0.34,0.5,0,0.5,0.43,1
MPI1_YEAST,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36,0
MPI2_YEAST,0.59,0.57,0.43,0.26,0.5,0,0.51,0.22,0
MR11_YEAST,0.39,0.3,0.56,0.12,0.5,0,0.53,0.38,1
RF1M_YEAST,0.6,0.62,0.54,0.4,0.5,0,0.5,0.22,0
RT01_YEAST,0.36,0.4,0.53,0.48,0.5,0,0.48,0.22,0
RT13_YEAST,0.51,0.42,0.56,0.38,0.5,0,0.46,0.22,0
RT17_YEAST,0.41,0.54,0.58,0.2,0.5,0,0.52,0.22,0
RT02_YEAST,0.57,0.4,0.62,0.3,0.5,0,0.48,0.11,0
RM41_YEAST,0.52,0.5,0.59,0.31,0.5,0,0.5,0.22,0
RT04_YEAST,0.42,0.53,0.53,0.64,0.5,0,0.47,0.22,0
RM49_YEAST,0.5,0.46,0.64,0.36,0.5,0,0.49,0.22,0
RM02_YEAST,0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24,0
RT08_YEAST,0.45,0.38,0.64,0.14,0.5,0,0.54,0.22,0
RM13_YEAST,0.6,0.57,0.64,0.52,0.5,0,0.47,0.28,0
RM16_YEAST,0.53,0.42,0.58,0.29,0.5,0,0.5,0.22,0
RM20_YEAST,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33,0
RM25_YEAST,0.45,0.43,0.63,0.4,0.5,0,0.59,0.11,0
RM27_YEAST,0.44,0.44,0.67,0.35,0.5,0,0.48,0.26,0
RM31_YEAST,0.58,0.52,0.61,0.33,0.5,0,0.38,0.11,0
RM32_YEAST,0.57,0.61,0.55,0.27,0.5,0,0.44,0.21,0
RM33_YEAST,0.57,0.58,0.58,0.35,0.5,0,0.49,0.22,0
RM36_YEAST,0.64,0.64,0.56,0.21,0.5,0,0.5,0.22,0
RM37_YEAST,0.56,0.5,0.61,0.49,0.5,0,0.46,0.28,0
RM38_YEAST,0.6,0.46,0.59,0.16,0.5,0,0.49,0.22,0
RM04_YEAST,0.36,0.38,0.56,0.44,0.5,0,0.48,0.22,0
RM44_YEAST,0.53,0.52,0.61,0.35,0.5,0,0.5,0.22,0
RM06_YEAST,0.62,0.59,0.54,0.47,0.5,0,0.46,0.22,0
RM08_YEAST,0.55,0.5,0.6,0.31,0.5,0,0.46,0.27,0
RM09_YEAST,0.58,0.53,0.57,0.46,0.5,0,0.51,0.27,0
RT28_YEAST,0.65,0.53,0.55,0.52,0.5,0,0.47,0.27,0
RT05_YEAST,0.38,0.54,0.54,0.41,0.5,0,0.51,0.22,0
RT09_YEAST,0.58,0.53,0.5,0.53,0.5,0,0.47,0.31,0
MRS1_YEAST,0.61,0.46,0.51,0.37,0.5,0,0.51,0.22,0
MRS2_YEAST,0.55,0.59,0.47,0.64,0.5,0,0.54,0.33,0
MRS3_YEAST,0.54,0.64,0.5,0.13,0.5,0,0.49,0.22,0
MRS4_YEAST,0.4,0.74,0.49,0.16,0.5,0,0.51,0.22,0
MSB2_YEAST,0.76,0.76,0.35,0.27,0.5,0,0.44,0.22,0
SYDM_YEAST,0.51,0.56,0.51,0.42,0.5,0,0.53,0.36,0
SYFM_YEAST,0.43,0.32,0.5,0.29,0.5,0,0.5,0.22,0
MSH1_YEAST,0.49,0.44,0.45,0.55,0.5,0,0.48,0.22,0
MSH2_YEAST,0.32,0.45,0.44,0.2,0.5,0,0.55,0.33,1
MSH3_YEAST,0.51,0.6,0.51,0.26,0.5,0,0.54,0.22,1
MSH4_YEAST,0.49,0.46,0.42,0.46,0.5,0,0.55,0.22,1
SYKM_YEAST,0.5,0.56,0.49,0.61,0.5,0,0.5,0.22,0
SYMM_YEAST,0.51,0.48,0.51,0.43,0.5,0,0.49,0.22,0
MSN1_YEAST,0.52,0.38,0.62,0.12,0.5,0,0.41,0.28,1
MSN2_YEAST,0.53,0.4,0.57,0.12,0.5,0,0.53,0.32,1
MSN4_YEAST,0.51,0.56,0.62,0.24,0.5,0,0.52,0.51,1
MSP1_YEAST,0.63,0.6,0.5,0.27,0.5,0,0.55,0.22,0
SYR_YEAST,0.46,0.44,0.53,0.31,0.5,0,0.48,0.22,0
MSS1_YEAST,0.58,0.57,0.54,0.69,0.5,0,0.54,0.22,0
MS16_YEAST,0.61,0.59,0.47,0.49,0.5,0,0.54,0.22,0
MS18_YEAST,0.63,0.47,0.56,0.12,0.5,0,0.5,0.22,0
MS51_YEAST,0.55,0.53,0.54,0.4,0.5,0,0.48,0.22,0
SYTM_YEAST,0.41,0.47,0.58,0.62,0.5,0,0.5,0.22,0
SYWM_YEAST,0.44,0.53,0.53,0.37,0.5,0,0.51,0.22,0
MTD1_YEAST,0.57,0.4,0.48,0.24,0.5,0,0.55,0.22,0
MTF1_YEAST,0.46,0.46,0.56,0.12,0.5,0,0.55,0.22,0
RU1A_YEAST,0.47,0.46,0.55,0.28,0.5,0,0.44,0.46,1
YKH4_YEAST,0.39,0.35,0.49,0.17,0.5,0,0.49,0.22,1
MYS1_YEAST,0.58,0.38,0.4,0.21,0.5,0,0.5,0.22,0
MYS2_YEAST,0.53,0.41,0.5,0.24,1,0,0.47,0.22,0
MYS4_YEAST,0.43,0.4,0.5,0.18,0.5,0,0.5,0.28,0
YN19_YEAST,0.41,0.59,0.46,0.19,0.5,0,0.36,0.22,0
YN46_YEAST,0.58,0.56,0.52,0.25,0.5,0,0.57,0.35,1
YN70_YEAST,0.51,0.65,0.53,0.19,0.5,0,0.49,0.22,0
YN94_YEAST,0.81,0.79,0.32,0.37,0.5,0,0.41,0.22,0
YNE2_YEAST,0.44,0.41,0.29,0.21,0.5,0,0.49,0.22,0
